Location,Area,Price,New/Resale,House_Type,bhk,bath,Floor,Age,Gym,Lift,Car_Parking,Security,Play_area,Clubhouse,Indoor_Games,Gas,Jogging_Track,Swimming_Pool
Kolshet Road,674,12400000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Thane West,1733,28400000,0,Apartment,3,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Kolshet Road,673,12400000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kolshet Road,690,12100000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Thane West,1733,28400000,0,Apartment,4,4,More than 5,,0,0,1,1,1,0,0,0,0,0
Sector 10 Khanda Colony,1530,14000000,0,Apartment,3,3,More than 5,,1,1,1,1,1,0,0,0,0,0
Pokharan Road,768,13200000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kharegaon,488,6656000,0,Independent House,1,1,1,,0,0,1,1,1,0,0,0,0,0
Kalwa,711,9750000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kalwa,560,5300000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Kalyan,7000,50000000,0,Apartment,6,6,More than 5,,0,0,1,1,1,0,0,0,0,0
Pokhran 2,768,13200000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kalwa,488,6656000,0,Apartment,1,1,5,,0,0,1,1,1,0,0,0,0,0
Panch Pakhadi,448,7000000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Panch Pakhadi,971,15000000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kalwa,770,9250000,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Kalwa,1145,20099999,0,Apartment,2,2,More than 5,,0,0,1,1,1,0,0,0,0,0
Thane West,1250,16500000,0,Apartment,3,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Chembur,1005,9500000,1,Apartment,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Chembur,757,7500000,1,Apartment,1,1,More than 5,,1,1,1,1,1,1,1,0,1,1
